2026-08-13 16:48:38 | INFO     | smoke | 日志文件写入测试
2026-08-13 16:53:28 | INFO     | core.processmanager | 创建下载任务：https://cn-sec.com/archives/category/安全文章
2026-08-13 16:53:28 | DEBUG    | sites.config_loader | 开始匹配配置：domain=cn-sec.com, path=/archives/category/安全文章
2026-08-13 16:53:28 | INFO     | sites.config_loader | 已加载配置：cn-sec-article-list.yaml（类型=article_list，优先级=90）
2026-08-13 16:53:28 | INFO     | core.processmanager | 任务类型：article_list
2026-08-13 16:53:28 | DEBUG    | sites.parser | 请求书籍/文章页：https://cn-sec.com/archives/category/安全文章
2026-08-13 16:53:28 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): cn-sec.com:443
2026-08-13 16:53:29 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/category/%E5%AE%89%E5%85%A8%E6%96%87%E7%AB%A0 HTTP/1.1" 200 None
2026-08-13 16:53:30 | INFO     | sites.parser | 目录分页模式：next_link
2026-08-13 16:53:30 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/category/%E5%AE%89%E5%85%A8%E6%96%87%E7%AB%A0 HTTP/1.1" 200 None
2026-08-13 16:53:32 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/category/%E5%AE%89%E5%85%A8%E6%96%87%E7%AB%A0/page/2 HTTP/1.1" 200 None
2026-08-13 16:53:32 | WARNING  | sites.parser | 目录页达到最大限制 2，已停止继续翻页
2026-08-13 16:53:32 | INFO     | sites.parser | 发现 2 个目录分页链接
2026-08-13 16:53:32 | INFO     | sites.parser | 开始解析章节列表：目录页数量=2
2026-08-13 16:53:32 | DEBUG    | sites.parser | 请求目录页：https://cn-sec.com/archives/category/安全文章
2026-08-13 16:53:33 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/category/%E5%AE%89%E5%85%A8%E6%96%87%E7%AB%A0 HTTP/1.1" 200 None
2026-08-13 16:53:33 | DEBUG    | sites.parser | 请求目录页：https://cn-sec.com/archives/category/%E5%AE%89%E5%85%A8%E6%96%87%E7%AB%A0/page/2
2026-08-13 16:53:34 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/category/%E5%AE%89%E5%85%A8%E6%96%87%E7%AB%A0/page/2 HTTP/1.1" 200 None
2026-08-13 16:53:35 | INFO     | sites.parser | 章节列表解析完成：共发现 24 个章节
2026-08-13 16:53:35 | INFO     | core.processmanager | 开始下载文章列表《安全文章》，共 24 篇
2026-08-13 16:53:35 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5364879.html
2026-08-13 16:53:35 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5364879.html HTTP/1.1" 200 None
2026-08-13 16:53:35 | DEBUG    | core.storage | 文件已写入：output/安全文章/第001章 国___战略研究-连载七.txt
2026-08-13 16:53:35 | DEBUG    | core.processmanager | 已保存文章 1/24：M国APT战略研究-连载七
2026-08-13 16:53:35 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5364887.html
2026-08-13 16:53:36 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5364887.html HTTP/1.1" 200 None
2026-08-13 16:53:36 | DEBUG    | core.storage | 文件已写入：output/安全文章/第002章 ctive _irectory 安全攻防（八）.txt
2026-08-13 16:53:36 | DEBUG    | core.processmanager | 已保存文章 2/24：Active Directory 安全攻防（八）
2026-08-13 16:53:36 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5364927.html
2026-08-13 16:53:36 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5364927.html HTTP/1.1" 200 None
2026-08-13 16:53:37 | DEBUG    | core.storage | 文件已写入：output/安全文章/第003章 y___ 连接数爆满时，运维第一时间该做什么？.txt
2026-08-13 16:53:37 | DEBUG    | core.processmanager | 已保存文章 3/24：MySQL 连接数爆满时，运维第一时间该做什么？
2026-08-13 16:53:37 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5364956.html
2026-08-13 16:53:37 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5364956.html HTTP/1.1" 200 None
2026-08-13 16:53:37 | DEBUG    | core.storage | 文件已写入：output/安全文章/第004章 捕捉恶意代码的顶级智能体反而被恶意代码欺骗.txt
2026-08-13 16:53:37 | DEBUG    | core.processmanager | 已保存文章 4/24：捕捉恶意代码的顶级智能体反而被恶意代码欺骗
2026-08-13 16:53:37 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5365969.html
2026-08-13 16:53:38 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5365969.html HTTP/1.1" 200 None
2026-08-13 16:53:38 | DEBUG    | core.storage | 文件已写入：output/安全文章/第005章 hvv ____ - 钓鱼邮件不需要你点链接了：_im_eaper 证明，看见就够了.txt
2026-08-13 16:53:38 | DEBUG    | core.processmanager | 已保存文章 5/24：hvv 2026 - 钓鱼邮件不需要你点链接了：ZimReaper 证明，看见就够了
2026-08-13 16:53:38 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5365995.html
2026-08-13 16:53:40 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5365995.html HTTP/1.1" 200 None
2026-08-13 16:53:40 | DEBUG    | core.storage | 文件已写入：output/安全文章/第006章 mac__ 终端里的一次隐秘数据外泄：从提示注入到 ___ 请求.txt
2026-08-13 16:53:40 | DEBUG    | core.processmanager | 已保存文章 6/24：macOS 终端里的一次隐秘数据外泄：从提示注入到 DNS 请求
2026-08-13 16:53:40 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5389328.html
2026-08-13 16:53:41 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5389328.html HTTP/1.1" 200 None
2026-08-13 16:53:41 | DEBUG    | core.storage | 文件已写入：output/安全文章/第007章 【报告选题】美_供应商涉_ _用供应链穿透分析.txt
2026-08-13 16:53:41 | DEBUG    | core.processmanager | 已保存文章 7/24：【报告选题】美J供应商涉H J用供应链穿透分析
2026-08-13 16:53:41 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5366080.html
2026-08-13 16:53:41 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5366080.html HTTP/1.1" 200 None
2026-08-13 16:53:41 | DEBUG    | core.storage | 文件已写入：output/安全文章/第008章 攻击演变、威胁狩猎与检测工程.txt
2026-08-13 16:53:41 | DEBUG    | core.processmanager | 已保存文章 8/24：C2 攻击演变、威胁狩猎与检测工程
2026-08-13 16:53:41 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5366105.html
2026-08-13 16:53:42 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5366105.html HTTP/1.1" 200 None
2026-08-13 16:53:42 | DEBUG    | core.storage | 文件已写入：output/安全文章/第009章 我是如何在 tcpip.sys 中发现整数溢出漏洞的.txt
2026-08-13 16:53:42 | DEBUG    | core.processmanager | 已保存文章 9/24：我是如何在 tcpip.sys 中发现整数溢出漏洞的
2026-08-13 16:53:42 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5366132.html
2026-08-13 16:53:43 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5366132.html HTTP/1.1" 200 None
2026-08-13 16:53:43 | DEBUG    | core.storage | 文件已写入：output/安全文章/第010章 大模型探索系列：___缓存优化与__ _ache时间侧信道攻击.txt
2026-08-13 16:53:43 | DEBUG    | core.processmanager | 已保存文章 10/24：大模型探索系列：LLM缓存优化与KV Cache时间侧信道攻击
2026-08-13 16:53:43 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5389210.html
2026-08-13 16:53:44 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5389210.html HTTP/1.1" 200 None
2026-08-13 16:53:44 | DEBUG    | core.storage | 文件已写入：output/安全文章/第011章 渗透测试之丝滑开局.txt
2026-08-13 16:53:44 | DEBUG    | core.processmanager | 已保存文章 11/24：渗透测试之丝滑开局
2026-08-13 16:53:44 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5366331.html
2026-08-13 16:53:44 | DEBUG    | urllib3.connectionpool | https://cn-sec.com:443 "GET /archives/5366331.html HTTP/1.1" 200 None
2026-08-13 16:53:44 | DEBUG    | core.storage | 文件已写入：output/安全文章/第012章 勒索软件利用_ang_low ___漏洞后攻击__模型.txt
2026-08-13 16:53:44 | DEBUG    | core.processmanager | 已保存文章 12/24：ENCFORGE勒索软件利用Langflow RCE漏洞后攻击AI模型
2026-08-13 16:53:44 | DEBUG    | sites.parser | 请求正文页：https://cn-sec.com/archives/5389190.html
